system:index,distance_to_road_m,grid_id,latitude,longitude,.geo
000000000000000000b0,928.85004136749,HYD_0177,17.55140189516244,78.61560627718418,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,455.56335345321384,HYD_0178,17.551515941062622,78.62501977451866,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,529.6834770256942,HYD_0179,17.55162821540411,78.63443444931252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,265.20296564864674,HYD_0180,17.537479115158007,78.239223212965,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,661.3512370864653,HYD_0181,17.537611400982993,78.24863414819143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,607.3081711696801,HYD_0182,17.537742211492905,78.25804509206911,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,302.0078538269064,HYD_0183,17.53787222760345,78.26745599159287,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,621.4388344908086,HYD_0184,17.538001192026638,78.2768680609508,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,695.4282028029849,HYD_0185,17.538130504669976,78.2862789650833,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,591.5883512830055,HYD_0186,17.53825981419916,78.29568989558886,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,1097.0436631878938,HYD_0187,17.538387997710743,78.30510268065385,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,1554.3229261462843,HYD_0188,17.538515113546882,78.3145143880432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,1692.2933535084398,HYD_0189,17.538643325273124,78.32392494013307,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,1701.2872798622454,HYD_0190,17.53877074173941,78.33333696730057,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,1749.627413335113,HYD_0191,17.53889522504115,78.34274903706097,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,896.3956299627339,HYD_0192,17.539021962628652,78.35216110488933,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,157.39794846068258,HYD_0193,17.539149756944205,78.36157200967443,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,257.8720695271839,HYD_0194,17.53927424920601,78.3709840714251,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,71.87709407038481,HYD_0195,17.53939911237893,78.38039722372181,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,241.8802384823221,HYD_0196,17.539521763555612,78.38981039294062,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,158.7926862593585,HYD_0197,17.539644383250582,78.3992213347634,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,157.717177259651,HYD_0198,17.539769213705075,78.40863226941781,"{""type"":""MultiPoint"",""coordinates"":[]}"
