system:index,built_up_density,grid_id,latitude,longitude,.geo
0000000000000000006c,0.39077429566506994,HYD_0109,17.557333594297184,78.37072544338761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,0.11862623750858513,HYD_0110,17.557458471951886,78.38013861373143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,0.3043990848331122,HYD_0111,17.557581094632745,78.38955176871904,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,0.33584296984118,HYD_0112,17.557703733315257,78.39896493336282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,0.09248210845672054,HYD_0113,17.557828604068828,78.40837808285534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,0.03523870752070053,HYD_0114,17.557951219857,78.41779124409129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,0.15297418471989133,HYD_0115,17.55807382354184,78.42720442586398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,0.36596043278617746,HYD_0116,17.558196436413176,78.43661757418121,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,0.1408242711147831,HYD_0117,17.55831796647466,78.44603112649952,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,0.23709715347087262,HYD_0118,17.55844093271277,78.45544461673168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,0.11609265404307921,HYD_0119,17.558562115484758,78.46485931712593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,0.04107313633803465,HYD_0120,17.55868252458045,78.47427244828356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,0.4296627390265512,HYD_0121,17.558801797171796,78.48368597251938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,0.27060078840731605,HYD_0122,17.55891991338633,78.49309838708598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,0.21758807136221808,HYD_0123,17.559039561090113,78.5025130584123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,0.03916008615836607,HYD_0124,17.559158142823172,78.51192885506146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,0.14974621367476212,HYD_0125,17.559276662903933,78.52134233614284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,0.04190090957348995,HYD_0126,17.559393736897274,78.53075589030496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,0.02777513183020362,HYD_0127,17.55951112895936,78.54017053791435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,0.18555970893587137,HYD_0128,17.559628945646132,78.54958406934435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,0.0893283883441669,HYD_0129,17.559745653020222,78.55899873503074,"{""type"":""MultiPoint"",""coordinates"":[]}"
