date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-06-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.065591397849463,93,96,96.875
2025-06-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.093333333333334,90,96,93.75
2025-06-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",40.236781609195404,87,96,90.625
2025-06-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.27391304347826,92,96,95.83333333333334
2025-06-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.686813186813186,91,96,94.79166666666666
2025-06-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,59,96,61.458333333333336
2025-06-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,51,96,53.125
2025-07-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.211904761904766,84,96,87.5
2025-07-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.067741935483873,93,96,96.875
2025-07-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.48202247191011,89,96,92.70833333333334
2025-07-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.523376623376624,77,96,80.20833333333334
2025-07-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.243820224719098,89,96,92.70833333333334
2025-07-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.105376344086025,93,96,96.875
2025-07-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.176344086021505,93,96,96.875
2025-07-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.673611111111114,72,96,75.0
2025-07-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.21505376344086,93,96,96.875
2025-07-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.718279569892474,93,96,96.875
2025-07-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.54731182795699,93,96,96.875
2025-07-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.456666666666667,90,96,93.75
2025-07-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.193548387096776,93,96,96.875
2025-07-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.123076923076923,91,96,94.79166666666666
2025-07-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.125806451612902,93,96,96.875
2025-07-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.048780487804876,82,96,85.41666666666666
2025-07-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.458227848101263,79,96,82.29166666666666
2025-07-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,66,96,68.75
2025-07-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,58,96,60.416666666666664
2025-07-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.031868131868134,91,96,94.79166666666666
2025-07-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.4320987654321,81,96,84.375
2025-07-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,60,96,62.5
2025-07-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.067741935483873,93,96,96.875
2025-07-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.18172043010753,93,96,96.875
2025-07-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.320238095238096,84,96,87.5
2025-07-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",33.564516129032256,93,96,96.875
2025-07-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.983870967741936,93,96,96.875
2025-07-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.934831460674154,89,96,92.70833333333334
2025-07-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.211111111111112,90,96,93.75
2025-07-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.46153846153846,91,96,94.79166666666666
2025-07-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.36818181818182,88,96,91.66666666666666
2025-08-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.595604395604393,91,96,94.79166666666666
