system:index,grid_id,latitude,longitude,ndvi,.geo
000000000000000000b8,HYD_0185,17.538130504669976,78.2862789650833,0.1483075009464165,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,HYD_0186,17.53825981419916,78.29568989558886,0.21690450929796698,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,HYD_0187,17.538387997710743,78.30510268065385,0.2104386401819776,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,HYD_0188,17.538515113546882,78.3145143880432,0.20368755252237591,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,HYD_0189,17.538643325273124,78.32392494013307,0.1789844832596697,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,HYD_0190,17.53877074173941,78.33333696730057,0.22547820632079896,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,HYD_0191,17.53889522504115,78.34274903706097,0.22333794829892287,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,HYD_0192,17.539021962628652,78.35216110488933,0.19030771278510794,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,HYD_0193,17.539149756944205,78.36157200967443,0.17354039557045858,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,HYD_0194,17.53927424920601,78.3709840714251,0.2310622708371375,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,HYD_0195,17.53939911237893,78.38039722372181,0.25376473437872293,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,HYD_0196,17.539521763555612,78.38981039294062,0.17785979241897323,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,HYD_0197,17.539644383250582,78.3992213347634,0.29219959678444707,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,HYD_0198,17.539769213705075,78.40863226941781,0.26732005436592204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,HYD_0199,17.539891859088705,78.41804542975784,0.3077724896338073,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,HYD_0200,17.54001447303215,78.42745860150029,0.22133986001620565,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,HYD_0201,17.540137102745128,78.43687176390289,0.15317624370463698,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,HYD_0202,17.54025785298955,78.44628378263488,0.3632923033370432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,HYD_0203,17.54037790025738,78.45569583859881,0.43944788848815675,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,HYD_0204,17.540499397310953,78.46510940540371,0.2512151078961937,"{""type"":""MultiPoint"",""coordinates"":[]}"
