system:index,bare_fraction,builtup_fraction,cropland_fraction,grid_id,latitude,longitude,vegetation_fraction,water_fraction,.geo
00000000000000000163,0.005588789788417207,0.04039924290766077,0.7708607362093456,HYD_0356,17.501495646867216,78.24917889643031,0.18315123109457665,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164,0.0,1.8998319207524244E-4,0.3608008052307219,HYD_0357,17.50162719682406,78.25858837468945,0.6270402704764627,0.011968941100740274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165,0.0027541160907416954,5.456092052652581E-4,0.4127002925806078,HYD_0358,17.50175759967152,78.26799668249195,0.5839999821233838,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166,0.0019465734833351645,0.004487023153724574,0.5632005272280133,HYD_0359,17.50188655957445,78.2774064937512,0.42932147318528047,0.0010444029496471188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167,0.0028718684235218444,0.5261539973816965,0.015681526063146115,HYD_0360,17.502016614900352,78.28681740049099,0.4552926081316362,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168,0.004653492633366608,0.21204470630297806,0.21964187286784773,HYD_0361,17.502143332379624,78.29622723687483,0.5636599281958083,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169,0.0010956802192850148,0.4675630984436277,0.05108394876894257,HYD_0362,17.502270421589856,78.30563591390224,0.4802572725681444,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a,0.0050452534693333296,0.7039865956475326,0.06424942404336818,HYD_0363,17.50239973007497,78.31504461606491,0.2267187268397649,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016b,0.018989512204112692,0.6918162276924428,0.08919038773232837,HYD_0364,17.502527145609328,78.32445443099739,0.2000038723711163,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016c,0.0322583527820763,0.4096437715121468,0.2825014930974958,HYD_0365,17.502651318678648,78.33386540785419,0.27559638260828134,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d,0.0052620504082753735,0.4763390221874624,0.0640019366311928,HYD_0366,17.502778742829932,78.34327522224164,0.4543969907730696,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016e,0.0032837096871483674,0.7229735314903258,0.056825789501512104,HYD_0367,17.50290618418939,78.35268503632301,0.21691696932101426,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016f,0.05755187228869713,0.591281522620012,0.04485567526338371,HYD_0368,17.50303069363867,78.36209486159322,0.27563559195785853,0.03067533787004814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170,0.018115927189268546,0.3845477329399425,0.04974526222743181,HYD_0369,17.503155200799057,78.37150470563768,0.5475910776433593,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171,0.028997125495219087,0.6274991808406066,0.064858062017813,HYD_0370,17.503280756669838,78.38091561958157,0.27864563164636136,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000172,0.010517988885739729,0.8997891635031261,0.01937416457760634,HYD_0371,17.503403019843837,78.39032545374714,0.0703186830335279,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173,0.001304756012486943,0.8321469546138478,0.022929458301040154,HYD_0372,17.503525654908945,78.39973639182543,0.1436188310726248,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000174,0.007954139582728902,0.7411662570479074,0.101901403231339,HYD_0373,17.50365050680778,78.40914730141981,0.1484083713436452,5.698287943800731E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000175,6.169810154531968E-4,0.9848882471260302,0.0,HYD_0374,17.50377348893361,78.41855709246552,0.014494771858516624,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000176,0.015740823808866166,0.8329726797966145,8.721946360216016E-4,HYD_0375,17.503894298703337,78.42796842590008,0.15041430175849788,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177,0.01941971647690428,0.029821221571936857,0.02582247532145944,HYD_0376,17.504017615607466,78.43737857220813,0.9249365866296994,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178,0.005539952648767744,0.06572860526152112,2.849118505080554E-4,HYD_0377,17.504138789369044,78.44678881242095,0.9284465302392029,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,0.0032278682928481737,0.6259830926857195,0.003227496032636797,HYD_0378,17.504259168334755,78.45619971872956,0.3675615429887951,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,0.009934126310481206,0.8725807610986569,0.0032882840773530756,HYD_0379,17.504379550789867,78.4656106582064,0.11419682851350867,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,0.018097490808864598,0.6416518134344696,0.08475351079781591,HYD_0380,17.50449994619522,78.4750215734311,0.2447704710298689,0.010726713928981453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c,0.015207790404082714,0.38419675141668913,0.07420849153449258,HYD_0381,17.504620734911725,78.484433620978,0.5263869666447353,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d,0.020983942285315346,0.682028950430533,0.04731226437049106,HYD_0382,17.50473816704478,78.49384459808651,0.24967484291366057,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
